team,role,games,wins,losses,win_rate,mean_score,sd_score,median_score,best_score
OBirdy,all,75,56,19,0.746666667,12.26666667,7.713332321,8,5
OBirdy,codemaster,39,31,8,0.794871795,11.61538462,7.278719467,8,5
OBirdy,guesser,39,28,11,0.717948718,12.48717949,8.055308138,8,6
Edamame,all,75,57,18,0.76,12.30666667,7.530071844,8,5
Edamame,codemaster,39,31,8,0.794871795,11.87179487,7.25541354,8,6
Edamame,guesser,39,29,10,0.743589744,12.25641026,7.792432053,8,5
Purrfect Cat-titude,all,75,57,18,0.76,12.8,7.274539086,9,5
Purrfect Cat-titude,codemaster,39,33,6,0.846153846,11.64102564,6.441996991,8,5
Purrfect Cat-titude,guesser,39,27,12,0.692307692,13.48717949,7.916909933,9,6
Semantic Squad,all,75,53,22,0.706666667,13.56,7.699140001,10,5
Semantic Squad,codemaster,39,33,6,0.846153846,11.46153846,6.273780669,9,5
Semantic Squad,guesser,39,22,17,0.564102564,15.64102564,8.520832612,11,5
Mokapot,all,75,52,23,0.693333333,14.30666667,7.531866237,10,6
Mokapot,codemaster,39,27,12,0.692307692,13.58974359,7.866377313,9,6
Mokapot,guesser,39,28,11,0.717948718,14.56410256,7.129607916,11,7
GPT-4.1,all,75,53,22,0.706666667,14.37333333,7.195669368,11,6
GPT-4.1,codemaster,39,27,12,0.692307692,14.56410256,7.383462573,11,6
GPT-4.1,guesser,39,29,10,0.743589744,13.94871795,6.851618011,11,7
C.O.S.M.O.,all,75,46,29,0.613333333,14.68,8.616702825,12,3
C.O.S.M.O.,codemaster,39,26,13,0.666666667,13.56410256,8.67481191,9,3
C.O.S.M.O.,guesser,39,23,16,0.58974359,14.97435897,8.776425299,12,3
Smiling Turtle,all,75,44,31,0.586666667,15.05333333,8.572257789,10,4
Smiling Turtle,codemaster,39,23,16,0.58974359,15.05128205,8.678311496,11,4
Smiling Turtle,guesser,39,24,15,0.615384615,14.25641026,8.698814041,9,4
Wild Falcon,all,75,46,29,0.613333333,15.18666667,8.001171085,11,6
Wild Falcon,codemaster,39,25,14,0.641025641,15.38461538,7.429016314,11,7
Wild Falcon,guesser,39,24,15,0.615384615,14.46153846,8.521941198,8,6
Mi3,all,75,40,35,0.533333333,17.05333333,7.998130412,16,3
Mi3,codemaster,39,18,21,0.461538462,17.92307692,8.291989208,25,3
Mi3,guesser,39,25,14,0.641025641,15.1025641,8.16860122,14,3
GrubbsLab,all,75,34,41,0.453333333,17.78666667,8.371917881,25,4
GrubbsLab,codemaster,39,16,23,0.41025641,17.94871795,8.759802683,25,4
GrubbsLab,guesser,39,20,19,0.512820513,17.15384615,8.327312265,18,4
Kossy,all,75,34,41,0.453333333,17.98666667,8.09820356,25,4
Kossy,codemaster,39,16,23,0.41025641,18.74358974,8.038453467,25,4
Kossy,guesser,39,20,19,0.512820513,16.69230769,8.507438993,15,4
Yscode,all,75,30,45,0.4,19.88,6.790215536,25,6
Yscode,codemaster,39,13,26,0.333333333,20.25641026,7.136702573,25,6
Yscode,guesser,39,20,19,0.512820513,18.58974359,6.949888105,20,7
