team,role,games,wins,losses,win_rate,mean_score,sd_score,median_score,best_score,mean_turns_when_winning,mean_words_found,mean_words_conceded,games_as_red,win_rate_red,games_as_blue,win_rate_blue,assassin_losses,assassin_wins
C.O.S.M.O.,all,72,61,11,0.847222222,9.208333333,6.829796978,6,5,6.360655738,8.111111111,5.402777778,36,0.833333333,36,0.861111111,0,0
C.O.S.M.O.,red,36,30,6,0.833333333,9.277777778,7.221440739,7,5,6.133333333,8.611111111,4.861111111,36,0.833333333,0,,0,0
C.O.S.M.O.,blue,36,31,5,0.861111111,9.138888889,6.516584459,6,6,6.580645161,7.611111111,5.944444444,0,,36,0.861111111,0,0
Smiling Turtle,all,72,57,15,0.791666667,10.77777778,7.442213479,7,4,7.035087719,8.069444444,5.736111111,36,0.777777778,36,0.805555556,0,1
Smiling Turtle,red,36,28,8,0.777777778,11.47222222,7.400718541,7,6,7.607142857,8.555555556,5.75,36,0.777777778,0,,0,0
Smiling Turtle,blue,36,29,7,0.805555556,10.08333333,7.522822419,6.5,4,6.482758621,7.583333333,5.722222222,0,,36,0.805555556,0,1
Kossy,all,72,53,19,0.736111111,11.23611111,8.350580743,6,5,6.301886792,7.833333333,5.819444444,36,0.638888889,36,0.833333333,2,1
Kossy,red,36,23,13,0.638888889,13.02777778,9.197782687,7,5,6.260869565,8.25,5.638888889,36,0.638888889,0,,2,1
Kossy,blue,36,30,6,0.833333333,9.444444444,7.089003333,6,6,6.333333333,7.416666667,6,0,,36,0.833333333,0,0
GrubbsLab,all,72,39,33,0.541666667,15.76388889,8.733121436,12,2,7.948717949,7.222222222,6.791666667,36,0.388888889,36,0.694444444,5,2
GrubbsLab,red,36,14,22,0.388888889,18.19444444,8.779259469,25,2,7.5,7.361111111,6.583333333,36,0.388888889,0,,5,1
GrubbsLab,blue,36,25,11,0.694444444,13.33333333,8.092324406,9,4,8.2,7.083333333,7,0,,36,0.694444444,0,1
Edamame,all,72,39,33,0.541666667,16.98611111,7.501160578,12,8,10.20512821,7.041666667,7.194444444,36,0.527777778,36,0.555555556,0,2
Edamame,red,36,19,17,0.527777778,17.25,7.492377078,12,8,10.31578947,7.416666667,6.777777778,36,0.527777778,0,,0,2
Edamame,blue,36,20,16,0.555555556,16.72222222,7.606805641,12,8,10.1,6.666666667,7.611111111,0,,36,0.555555556,0,0
Yscode,all,72,38,34,0.527777778,17.43055556,7.319328817,13.5,7,10.65789474,7.25,7.333333333,36,0.472222222,36,0.583333333,0,1
Yscode,red,36,17,19,0.472222222,17.94444444,7.652989871,25,7,10.05882353,7.805555556,6.944444444,36,0.472222222,0,,0,0
Yscode,blue,36,21,15,0.583333333,16.91666667,7.040190744,12,7,11.14285714,6.694444444,7.722222222,0,,36,0.583333333,0,1
OBirdy,all,72,34,38,0.472222222,17.72222222,7.816959213,25,7,9.588235294,6.833333333,7.25,36,0.416666667,36,0.527777778,0,0
OBirdy,red,36,15,21,0.416666667,18.5,7.85766232,25,7,9.4,7.138888889,6.888888889,36,0.416666667,0,,0,0
OBirdy,blue,36,19,17,0.527777778,16.94444444,7.80821708,12,7,9.736842105,6.527777778,7.611111111,0,,36,0.527777778,0,0
Purrfect Cat-titude,all,72,24,48,0.333333333,20.38888889,6.68097057,25,8,11.16666667,6.527777778,7.583333333,36,0.361111111,36,0.305555556,4,0
Purrfect Cat-titude,red,36,13,23,0.361111111,19.91666667,6.909103725,25,9,10.92307692,7.083333333,7.25,36,0.361111111,0,,0,0
Purrfect Cat-titude,blue,36,11,25,0.305555556,20.86111111,6.507809716,25,8,11.45454545,5.972222222,7.916666667,0,,36,0.305555556,4,0
Semantic Squad,all,72,19,53,0.263888889,21.30555556,6.352639218,25,7,11,5.75,7.791666667,36,0.222222222,36,0.305555556,0,3
Semantic Squad,red,36,8,28,0.222222222,22.16666667,5.416904757,25,11,12.25,6.194444444,7.611111111,36,0.222222222,0,,0,0
Semantic Squad,blue,36,11,25,0.305555556,20.44444444,7.141206158,25,7,10.09090909,5.305555556,7.972222222,0,,36,0.305555556,0,3
Mokapot,all,72,15,57,0.208333333,22.36111111,5.26028317,25,7,12.33333333,5.791666667,7.902777778,36,0.194444444,36,0.222222222,2,2
Mokapot,red,36,7,29,0.194444444,22.69444444,4.785809049,25,11,13.14285714,6.194444444,7.638888889,36,0.194444444,0,,0,0
Mokapot,blue,36,8,28,0.222222222,22.02777778,5.744493568,25,7,11.625,5.388888889,8.166666667,0,,36,0.222222222,2,2
Wild Falcon,all,72,8,64,0.111111111,23.16666667,5.352372121,25,2,8.5,4.902777778,8.180555556,36,0.138888889,36,0.083333333,2,3
Wild Falcon,red,36,5,31,0.138888889,22.72222222,5.950323454,25,2,8.6,5,7.5,36,0.138888889,0,,2,2
Wild Falcon,blue,36,3,33,0.083333333,23.61111111,4.722455643,25,5,8.333333333,4.805555556,8.861111111,0,,36,0.083333333,0,1
GPT-4.1,all,72,9,63,0.125,23.33333333,4.49099255,25,9,11.66666667,5.069444444,8.180555556,36,0.111111111,36,0.138888889,1,1
GPT-4.1,red,36,4,32,0.111111111,23.61111111,4.023344577,25,11,12.5,5.083333333,7.694444444,36,0.111111111,0,,1,0
GPT-4.1,blue,36,5,31,0.138888889,23.05555556,4.956637365,25,9,11,5.055555556,8.666666667,0,,36,0.138888889,0,1
